"seller_key","seller_id","seller_city","seller_state","seller_region","total_revenue","seller_segment","seller_lat","seller_lng"
109,"0885aaf116795758dfeb5f1032487bcd","ferraz de vasconcelos","SP","Southeast",2458.200000000001,"Medium Performer",-23.52039186756291,-46.374050869239724
110,"0887a9f087bcd5d9f6642b52f897fc6c","cananeia","SP","Southeast",1642.0,"Medium Performer",-25.009292746688914,-47.931957103614316
111,"08ad4ac1388e4420ca531c3edfc46198","itapevi","SP","Southeast",195.63,"Low Performer",-23.557647455396495,-46.939782586668564
112,"08cdbae123ff67ca4e36d9d641ce0119","uba","MG","Southeast",2178.99,"Medium Performer",-21.113687113557148,-42.937331269957205
113,"08d0949a9a17c027262db1f3c450c26c","cascavel","PR","South",324.79999999999995,"Low Performer",-24.986482985801867,-53.49319710647038
114,"08d1c9478fb0d7d7fcac9c0da4e82fc7","belo horizonte","MG","Southeast",538.0,"Medium Performer",-19.904918272682526,-43.936891702496084
115,"08d2d642cf72b622b14dde1d2f5eb2f5","marilia","SP","Southeast",883.9999999999999,"Medium Performer",-22.15880124499384,-49.96150594898238
116,"08f5819815f3d06545011850bd70f0a8","santos","SP","Southeast",452.0,"Medium Performer",-23.95460047631286,-46.3377311534732
117,"091065b789659bc3cd9af9cb3a6253ff","canoas","RS","South",1359.0,"Medium Performer",-29.949839227216522,-51.16849385835351
118,"0936e1837d0c79253456bbb2ffaaef10","sao paulo","SP","Southeast",19.45,"Low Performer",-23.51734415478189,-46.612135226939586
119,"093805f8f2aeb63881444571e1f48f30","osasco","SP","Southeast",1215.7900000000002,"Medium Performer",-23.51010786952278,-46.787354816664426
120,"094ced053e257ae8cae57205592d6712","ribeirao preto","SP","Southeast",1519.2,"Medium Performer",-21.19102299555017,-47.76791416876067
121,"0951a6e282947e09cd47969f4ed0b47f","taboao da serra","SP","Southeast",492.29999999999995,"Medium Performer",-23.611337140429235,-46.760748712481636
122,"09883d9ab71c8fe8a9bfc7fc3075b07e","sao paulo","SP","Southeast",329.5,"Low Performer",-23.49269969912071,-46.42102612749887
123,"099095b050cfe8eb1ddff5317587e96e","sao paulo","SP","Southeast",4924.8499999999985,"High Performer",-23.54868915651899,-46.5655381380219
124,"09bad886111255c5b5030314fc7f1a4a","sao paulo","SP","Southeast",487.5,"Medium Performer",-23.544921826153427,-46.631931335611945
125,"09f952a5f58d2285b0372551ae8f9b01","sao bernardo do campo","SP","Southeast",11127.509999999998,"High Performer",-23.706316018037764,-46.55695623040588
126,"0a198e95d32b1be2da9424c962a6ebfa","contagem","MG","Southeast",69.99,"Low Performer",-19.954716106653937,-44.0389637446662
127,"0a82f5fb06a4fe4ac2cf7cb412ec71b8","sao paulo","SP","Southeast",462.0,"Medium Performer",-23.597017937639016,-46.742765414697416
128,"0a85ebe4e328db81ac9109781205e2f7","jundiai","SP","Southeast",667.9,"Medium Performer",-23.247403321743978,-46.85464065410206
129,"0aa124728afc1131dff5655f4c6f487b","alfenas","MG","Southeast",850.92,"Medium Performer",-21.422172782486314,-45.964344365355856
130,"0aa2205ca24f113f4658a5c536667426","sao paulo","SP","Southeast",453.78000000000003,"Medium Performer",-23.606213117621067,-46.60917170458758
131,"0ac4201fda2c68ebc0e47cb9423cf3c9","sao paulo","SP","Southeast",1676.88,"Medium Performer",-23.57157695736587,-46.56366058582028
132,"0ad80de75c811326389cfb1daba7d45e","rio de janeiro","RJ","Southeast",1449.4,"Medium Performer",-22.924015428292364,-43.213547671608936
133,"0adac9fbd9a2b63cccaac4f8756c1ca8","louveira","SP","Southeast",14010.339999999978,"High Performer",-23.08550507419915,-46.95954096067056
134,"0ade5cc4a305ed7093a23f68ca47519c","curitiba","PR","South",158.88,"Low Performer",-25.483878697680172,-49.272408707514224
135,"0aea4c6ae1505b3228ddf3dd7822ee5b","sorocaba","SP","Southeast",1427.91,"Medium Performer",-23.485222804706993,-47.45986989975183
136,"0af2ab31141893d26aca5a404a537dab","sao paulo","SP","Southeast",59.0,"Low Performer",-23.550472430843705,-46.53884595688124
137,"0af977692321d895349eded183341d28","santos","SP","Southeast",257.75,"Low Performer",-23.956747673686184,-46.34527196911743
138,"0afccdb8a34ee5c79f7c06faf2b4d56e","uberlandia","MG","Southeast",1225.4999999999998,"Medium Performer",-18.913247873843893,-48.27821224449982
139,"0b09101900100c0e9d312861fad5a1b9","sao paulo","SP","Southeast",153.75,"Low Performer",-23.554397891852155,-46.595689634405446
140,"0b0ddbc7b9d9584f442c7ac92b0ff6c9","guarulhos","SP","Southeast",1416.76,"Medium Performer",-23.47264130837401,-46.55405162314024
141,"0b18d63d0cd1d723567903fd34a07df2","sp","SP","Southeast",1379.28,"Medium Performer",-23.492024033813998,-46.72898406045395
142,"0b1ca3ef18a63d7eb0c8897fa0849c08","sao roque","SP","Southeast",55.0,"Low Performer",-23.53171637882901,-47.148670759327565
143,"0b35c634521043bf4b47e21547b99ab5","teixeira soares","PR","South",13055.069999999998,"High Performer",-25.371975656252413,-50.462083835822334
144,"0b36063d5818f81ccb94b54adfaebbf5","jaragua do sul","SC","South",51.0,"Low Performer",-26.467360494541282,-49.093061835412655
145,"0b3f27369a4d8df98f7eb91077e438ac","aruja","SP","Southeast",146.51,"Low Performer",,
146,"0b46f784306be7200ca1700aa55d819f","belo horizonte","MG","Southeast",19.9,"Low Performer",-19.906712194756448,-43.94889650258166
147,"0b64bcdb0784abc139af04077d49a20e","canoas","RS","South",137.6,"Low Performer",-29.88532995305923,-51.17823714857107
148,"0b90b6df587eb83608a64ea8b390cf07","maringa","PR","South",23452.120000000003,"High Performer",-23.382472093966726,-51.927966489669856
149,"0bae85eb84b9fb3bd773911e89288d54","itajai","SP","Southeast",7125.409999999988,"High Performer",-26.911876880258855,-48.65639411001171
150,"0bb27263628258b8111a0262769fa9db","sao paulo","SP","Southeast",22.2,"Low Performer",-23.531680926472017,-46.580702146286306
151,"0bb738e4d789e63e2267697c42d35a2d","sao roque","SP","Southeast",2373.400000000001,"Medium Performer",-23.531424390734568,-47.134427650462705
152,"0be8ff43f22e456b4e0371b2245e4d01","sao paulo","SP","Southeast",11203.999999999969,"High Performer",-23.691183009689922,-46.679584294640954
153,"0bebbb2cea103a4a020c95d43fd7d754","sao paulo","SP","Southeast",1367.2,"Medium Performer",-23.510207653445487,-46.65788988269822
154,"0bf0150d5b9d60d9cd2906003332f085","sao paulo","SP","Southeast",3501.0000000000014,"Medium Performer",-23.582993961723396,-46.62112676164033
155,"0bfd0b434243adc5c2e1aa6baf19c6aa","rio de janeiro","RJ","Southeast",371.20000000000005,"Low Performer",-22.935058480174064,-43.33359407042852
156,"0c7533c71df861ec58ad7ff999ed0e8d","valinhos","SP","Southeast",2697.8000000000025,"Medium Performer",-22.97545814072231,-47.00268239234955
157,"0c7f30ae9b147eca07affbef92832a6a","ponta grossa","PR","South",479.5,"Medium Performer",-25.07996038746568,-50.13255780440033
158,"0c8380b62e38e8a1e6adbeba7eb9688c","tres coracoes","MG","Southeast",15475.52999999996,"High Performer",-21.693370826873448,-45.25976867138688
159,"0cab2da43793a6f3c5ed8514c5f54627","curitiba","PR","South",309.70000000000005,"Low Performer",-25.42963241666681,-49.26131687338104
160,"0cbcee27c791afa0cdcb08587a2013a8","tres coracoes","MG","Southeast",5209.15,"High Performer",-21.693370826873448,-45.25976867138688
161,"0d33a55da925bbf1ff02af5f6059fc7f","sao paulo","SP","Southeast",517.3,"Medium Performer",-23.599535586507255,-46.735436371547834
162,"0d4c8269e7f0401201794deef160edd6","ribeirao preto","SP","Southeast",792.64,"Medium Performer",-21.156700327270215,-47.78619523041459
163,"0d83f8e03188682112cc0d93523705cc","porto alegre","RS","South",339.58000000000004,"Low Performer",-30.00326017740812,-51.11873514426362
164,"0d85bbda9889ce1f7e63778d24f346eb","uberlandia","MG","Southeast",4201.800000000003,"High Performer",-18.921397435860243,-48.32946334496326
165,"0daf5180aa44356f60f8effa533b55a2","goiania","GO","Central-West",144.8,"Low Performer",-16.675216754850805,-49.259844229933485
166,"0db783cfcd3b73998abc6e10e59a102f","santos","SP","Southeast",8678.499999999995,"High Performer",-23.93357260989164,-46.32962527759821
167,"0dd184061fb0eaa7ca37932c68ab91c5","guarulhos","SP","Southeast",15733.929999999998,"High Performer",-23.493718851420663,-46.54618856351207
168,"0ddefe3c7a032b91f4e25b9c3a08fca1","sao bernardo do campo","SP","Southeast",386.99999999999994,"Low Performer",-23.71964586603909,-46.5475254638554
169,"0df3984f9dfb3d49ac6366acbd3bbb85","betim","MG","Southeast",9843.689999999988,"High Performer",-19.951799038267147,-44.196037480396015
170,"0dfbed20065e425d2eaefb101f9816c0","porto ferreira","SP","Southeast",84.35,"Low Performer",-21.866032425983537,-47.47810175812134
171,"0e44d110fa6a54e121cb2c095a77762f","francisco morato","SP","Southeast",223.32,"Low Performer",-23.282843367454188,-46.74615014505265
172,"0e72c1a751b496722a6cb1f10653b62a","sao paulo","SP","Southeast",140.8,"Low Performer",-23.509788585391938,-46.76684853672089
173,"0e982cff76cc0579f632cea8a0e38c9d","itajai","SC","South",1016.06,"Medium Performer",-26.943749340786518,-48.72163589675503
174,"0ea22c1cfbdc755f86b9b54b39c16043","sete lagoas","MG","Southeast",10586.999999999947,"High Performer",-19.45799501338864,-44.24812822762975
175,"0eaa7e33d73809f1f925f7d07c506cbd","santo andre","SP","Southeast",1552.0,"Medium Performer",-23.67120903205988,-46.49116730072025
176,"0ebd97a106433a45a4aebe57c1799778","contagem","MG","Southeast",3046.8000000000015,"Medium Performer",-19.956086026625698,-44.05212106582629
177,"0ec28cec4046a4a199b6de9b4c891d97","goiania","GO","Central-West",246.70000000000002,"Low Performer",-16.680677711076534,-49.26949682221062
178,"0ed6ce5d87fd9c69eaacaeb778d67235","americana","SP","Southeast",2141.420000000001,"Medium Performer",-22.72062533010144,-47.30723687984722
179,"0ee4fb99ac55ffbbc98795aa01b7f8fa","santana de parnaiba","SP","Southeast",59.9,"Low Performer",-23.46503945141155,-46.88499666372503
180,"0ef83d7d83ed97cd2a0049ac8be5f88a","curitiba","PR","South",3972.0099999999993,"Medium Performer",-25.441571360403625,-49.26687451387349
181,"0f0c984a4a955310903b6b6008660bad","franca","SP","Southeast",369.81000000000006,"Low Performer",-20.55362362743643,-47.38735911880558
182,"0f519b0d2e5eb2227c93dd25038bfc01","ibitinga","SP","Southeast",79.9,"Low Performer",-21.757320637712766,-48.82974353343713
183,"0f7eea709efdf942b5f95c7516dbacd7","pedrinhas paulista","SP","Southeast",195.74,"Low Performer",-22.815272553334733,-50.79127156718951
184,"0f80a40c312b2472dca482cf50f5186f","lencois paulista","SP","Southeast",129.9,"Low Performer",-22.59912233055666,-48.78750986401859
185,"0f94588695d71662beec8d883ffacf09","florianopolis","SC","South",9.0,"Low Performer",-27.600182562331035,-48.50691625507008
186,"0fe2d9733ed841eb064503920015a8c0","ourinhos","SP","Southeast",389.64,"Low Performer",-22.984705982797625,-49.88183480538479
187,"0ff83046c3fa22efee8ecf291888b191","caxias do sul","RS","South",698.9999999999999,"Medium Performer",-29.19085626647707,-51.23023949816572
188,"0ffa40d54288e4f3499b8780dd0f144f","presidente prudente","SP","Southeast",2110.8,"Medium Performer",-22.13572820128065,-51.39200415919773
189,"10076e5788b8ee532724bcd460baf762","batatais","SP","Southeast",797.48,"Medium Performer",-20.897753508287284,-47.59026582347453
190,"10089e9f2fd0c668a8fd4e52e1698888","sao jose do rio preto","SP","Southeast",1139.9,"Medium Performer",-20.810360710791425,-49.34854545859981
191,"101921376b577a4540dc30e9009133ca","rio claro","SP","Southeast",373.0,"Low Performer",-22.37849011300643,-47.56519468442955
192,"101a3a003516bc11253298b2fad3cb65","rio claro","SP","Southeast",410.0,"Low Performer",-22.412926935778415,-47.5792958770093
193,"1025f0e2d44d7041d6cf58b6550e0bfa","sao paulo","SP","Southeast",113317.00999999992,"High Performer",-23.595498594800546,-46.559726963517065
194,"10264f60a8f0a4d2f30810f5c661c673","campinas","SP","Southeast",284.6,"Low Performer",-22.887802678045404,-47.03827277348357
195,"1099a00e0ee3a50935e6c2447ca090c5","rio de janeiro","RJ","Southeast",849.6999999999999,"Medium Performer",-22.89370323658222,-43.23151762119007
196,"10cdd491d1dbea8fb4ead97b19c334ce","santa rita do sapucai","MG","Southeast",208.9,"Low Performer",-22.247210939506793,-45.70752067761215
197,"10ff823eda2b032e2c93d17a7d294736","pederneiras","SP","Southeast",1294.9700000000003,"Medium Performer",-22.3480131169951,-48.78449569702055
198,"112453736dbe3889cfb74e1aaa0ba0c1","sao paulo","SP","Southeast",945.0,"Medium Performer",-23.54706743134006,-46.52164439061696
199,"1127b7f2594683f2510f1c2c834a486b","campinas","SP","Southeast",6057.130000000002,"High Performer",-22.85798998347003,-47.05305088047736
200,"11305281b50fff20ae8bb473f8e11876","uba","MG","Southeast",5733.8399999999965,"High Performer",-21.117760548690043,-42.94287086370393
